Program Facility Name_x,Locality_x,County_x,Contributing Factor_x,Source_x,Material Name_x,Material Family_x,Year_x,Unrecovered Amount_x,Program Facility Name_y
108TH ST NORTH OF 69TH AVE CON ED FEEDER,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2012.0,1925.0,108TH ST NORTH OF 69TH AVE CON ED FEEDER
BAY CRANE COLLAPSE CON ED DAMAGE,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,3400.0,BAY CRANE COLLAPSE CON ED DAMAGE
BROWNS SUBSTATION CON ED FEEDER LEAK,BROOKLYN,Kings,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,590.0,BROWNS SUBSTATION CON ED FEEDER LEAK
CAPITAL A-VAL/CON ED FEEDER 38W10,MOUNT VERNON,Westchester,Human Error,Commercial/Industrial,dielectric fluid,Petroleum,2011.0,6295.0,CAPITAL A-VAL/CON ED FEEDER 38W10
CON ED,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,freon,Other,2000.0,200.0,CON ED
CON ED,BRONX,Bronx,Equipment Failure,Commercial/Industrial,freon,Other,2001.0,100.0,CON ED
CON ED,BRONX,Bronx,Equipment Failure,Commercial/Industrial,freon,Other,2000.0,120.0,CON ED
CON ED  FEEDER M51  IN MH 10333,YONKERS,Westchester,Equipment Failure,Transformer,dielectric fluid,Petroleum,2019.0,320.0,CON ED  FEEDER M51  IN MH 10333
CON ED  M51 FEEDER LEAK,BRONX,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2009.0,7400.0,CON ED  M51 FEEDER LEAK
CON ED  M52 FEEDER LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,1000.0,CON ED  M52 FEEDER LEAK
CON ED - FEEDER LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,400.0,CON ED - FEEDER LEAK
